xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
0.535;5.20645;5.20645;-2.83712;-2.83712;-2.04154e-08;6.97588e-07;0.016;7.44413e-07;2.17764e-08;7.44094e-07;2;6
0.551;5.15577;5.15577;-3.49976;-3.49976;-2.41533e-08;7.15325e-07;0.016;7.63448e-07;2.57635e-08;7.63013e-07;2;6
0.567;5.09441;5.09441;-4.17084;-4.17084;-2.97371e-08;7.36021e-07;0.016;7.8573e-07;3.17196e-08;7.85089e-07;2;6
0.583;5.02225;5.02225;-4.85087;-4.85087;-3.70646e-08;7.50611e-07;0.016;8.01627e-07;3.95355e-08;8.00652e-07;2;6
0.599;4.93914;4.93914;-5.53872;-5.53872;-4.55916e-08;7.46106e-07;0.016;7.97331e-07;4.8631e-08;7.95847e-07;2;6
0.615;4.84499;4.84499;-6.23126;-6.23126;-5.41661e-08;7.05418e-07;0.016;7.54661e-07;5.77772e-08;7.52446e-07;2;6
0.631;4.73975;4.73975;-6.92304;-6.92304;-6.08809e-08;6.0846e-07;0.016;6.52265e-07;6.49397e-08;6.49024e-07;2;6
0.647;4.62349;4.62349;-7.60598;-7.60598;-6.30232e-08;4.35373e-07;0.016;4.69238e-07;6.72247e-08;4.64398e-07;2;6
0.663;4.49646;4.49646;-8.26924;-8.26924;-5.72321e-08;1.72496e-07;0.016;1.93859e-07;6.10476e-08;1.83996e-07;2;6
0.679;4.35906;4.35906;-8.89924;-8.89924;-3.99871e-08;-1.79177e-07;0.016;1.95824e-07;4.26529e-08;1.91122e-07;2;6
0.695;4.21195;4.21195;-9.47993;-9.47993;-8.49505e-09;-5.9506e-07;0.016;6.34796e-07;9.06139e-09;6.34731e-07;2;6
0.711;4.05606;4.05606;-9.99354;-9.99354;3.81008e-08;-1.02178e-06;0.016;1.09066e-06;4.06409e-08;1.0899e-06;2;6
0.727;3.89261;3.89261;-10.4216;-10.4216;9.75052e-08;-1.38125e-06;0.016;1.477e-06;1.04006e-07;1.47334e-06;2;6
0.735;3.80851;3.80851;-10.5979;-10.5979;4.73588e-09;-5.11384e-08;0.008;5.4781e-08;5.0516e-09;5.45476e-08;3;6
0.743;3.72312;3.72312;-10.7462;-10.7462;5.77452e-09;-5.27292e-08;0.008;5.65808e-08;6.15949e-09;5.62445e-08;3;6
0.751;3.63665;3.63665;-10.8648;-10.8648;6.76225e-09;-5.24754e-08;0.008;5.64366e-08;7.21307e-09;5.59738e-08;3;6
0.759;3.54936;3.54936;-10.9519;-10.9519;7.65468e-09;-5.03257e-08;0.008;5.42981e-08;8.165e-09;5.36807e-08;3;6
0.767;3.46151;3.46151;-11.0064;-11.0064;8.40923e-09;-4.63614e-08;0.008;5.02591e-08;8.96984e-09;4.94521e-08;3;6
0.775;3.37335;3.37335;-11.0272;-11.0272;8.98833e-09;-4.07988e-08;0.008;4.45623e-08;9.58755e-09;4.35187e-08;3;7
0.791;3.19723;3.19723;-10.9654;-10.9654;3.02328e-07;-9.0712e-07;0.016;1.01992e-06;3.22483e-07;9.67594e-07;3;7
0.807;3.0232;3.0232;-10.7661;-10.7661;2.99733e-07;-4.02954e-07;0.016;5.35687e-07;3.19715e-07;4.29818e-07;3;7
0.823;2.85342;2.85342;-10.4346;-10.4346;2.6936e-07;5.56826e-08;0.016;2.93392e-07;2.87317e-07;5.93947e-08;3;7
0.839;2.68994;2.68994;-9.98179;-9.98179;2.17767e-07;3.68144e-07;0.016;4.56244e-07;2.32284e-07;3.92687e-07;3;7
0.855;2.53457;2.53457;-9.42235;-9.42235;1.55015e-07;4.86805e-07;0.016;5.4495e-07;1.6535e-07;5.19259e-07;3;7
0.871;2.3889;2.3889;-8.77363;-8.77363;9.16565e-08;4.22488e-07;0.016;4.61137e-07;9.77669e-08;4.50654e-07;3;7
