xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
5.863;6.33924;6.33924;0.289387;0.289387;-7.53325e-08;-7.89291e-09;0.128;8.07945e-08;8.03546e-08;8.41911e-09;0;7
5.991;6.37684;6.37684;0.298946;0.298946;-7.6294e-08;-1.90355e-08;0.128;8.3875e-08;8.13802e-08;2.03045e-08;0;7
6.119;6.41598;6.41598;0.313387;0.313387;-7.80872e-08;-3.06339e-08;0.128;8.94732e-08;8.3293e-08;3.26762e-08;0;7
6.247;6.45729;6.45729;0.332923;0.332923;-8.06154e-08;-4.29796e-08;0.128;9.74474e-08;8.59898e-08;4.58449e-08;0;7
6.375;6.50143;6.50143;0.357837;0.357837;-8.37181e-08;-5.64014e-08;0.128;1.07674e-07;8.92993e-08;6.01615e-08;0;7
6.503;6.54914;6.54914;0.388481;0.388481;-8.71444e-08;-7.12807e-08;0.128;1.20089e-07;9.2954e-08;7.60328e-08;0;7
6.631;6.60115;6.60115;0.42527;0.42527;-9.05161e-08;-8.80638e-08;0.128;1.34706e-07;9.65505e-08;9.39348e-08;0;7
6.759;6.65829;6.65829;0.468682;0.468682;-9.32796e-08;-1.07268e-07;0.128;1.5163e-07;9.94982e-08;1.14419e-07;0;7
6.887;6.72144;6.72144;0.519241;0.519242;-9.46481e-08;-1.2947e-07;0.128;1.71069e-07;1.00958e-07;1.38101e-07;0;7
7.015;6.79154;6.79154;0.577505;0.577505;-9.35404e-08;-1.55258e-07;0.128;1.93343e-07;9.97765e-08;1.65608e-07;0;7
7.143;6.86963;6.86963;0.64403;0.64403;-8.85341e-08;-1.85109e-07;0.128;2.18871e-07;9.44364e-08;1.9745e-07;0;7
7.271;6.95679;6.95679;0.719336;0.719336;-7.78671e-08;-2.19143e-07;0.128;2.4807e-07;8.30582e-08;2.33752e-07;0;7
7.399;7.05417;7.05417;0.803837;0.803837;-5.9552e-08;-2.56665e-07;0.128;2.81049e-07;6.35221e-08;2.73776e-07;0;7
7.527;7.16297;7.16297;0.897759;0.897759;-3.17046e-08;-2.95427e-07;0.128;3.16932e-07;3.38183e-08;3.15122e-07;0;7
7.655;7.2844;7.2844;1.00102;1.00102;6.77274e-09;-3.30556e-07;0.128;3.52667e-07;7.22425e-09;3.52593e-07;0;7
7.783;7.41961;7.41961;1.11307;1.11307;5.50101e-08;-3.53313e-07;0.128;3.81407e-07;5.86775e-08;3.76867e-07;0;7
